record_type,id,label,packet,priority_or_status,claim_strength,safe_scope,claim_roles,entities,ingredients,summary
document_profile,DOC_4FB6669959F5,asr_fy23_sustainability_report.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,asr; hershey; target,packaging; sugar,chunks=151 text=296944
document_profile,DOC_51C8BD35B96E,lecithin_emulsifier_chocolate_use.pdf,soy_lecithin,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,,cocoa_chocolate; milk_dairy; packaging; soy_lecithin; sugar,chunks=4 text=6270
document_profile,DOC_535DD6E652B7,asr_group_about_page.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; supplier_relationship; sustainability_context,asr,sugar,chunks=3 text=3165
document_profile,DOC_55B0E1DB0BD6,common_carrier_freight_explanation.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; retail_price,,,chunks=2 text=2177
document_profile,DOC_5BC712652F98,pgpr_market_overview_reference.pdf,pgpr,high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,fda; target,cocoa_chocolate; milk_dairy; natural_flavor; pgpr,chunks=13 text=25379
document_profile,DOC_5E90ED0F32AB,walgreens_hershey_1_55oz_price_page.pdf,retail_price_evidence,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price,hershey; walgreens,cocoa_chocolate; milk_dairy; natural_flavor; packaging,chunks=4 text=5603
document_profile,DOC_5EE6EEAC2420,pgpr_processing_polyglycerol_ricinoleic_acid_explanation.pdf,pgpr,medium,,,general_context; ingredient_confirmation; manufacturing_or_process,,cocoa_chocolate; milk_dairy; natural_flavor; pgpr; soy_lecithin; sugar,chunks=10 text=19112
document_profile,DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,hershey; target,cocoa_chocolate; milk_dairy; packaging; sugar,chunks=5 text=8269
document_profile,DOC_66F839469130,hershey_pulp_and_paper_sourcing_data.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,packaging,chunks=3 text=5807
document_profile,DOC_672F3875D726,hershey_sustainable_sugar_sourcing_policy.pdf,sugar,high,,,ingredient_confirmation; supplier_relationship; sustainability_context,hershey,sugar,chunks=1 text=1885
document_profile,DOC_6ECEDE6AFBC2,epa_hershey_land_o_lakes_pa_dairy_farms_2m_commitment.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; retail_price; supplier_relationship; sustainability_context,hershey; land_olakes; target; usda,cocoa_chocolate; milk_dairy,chunks=4 text=6583
document_profile,DOC_6F01C5426EEB,usda_ers_sugar_sweeteners_yearbook_tables.xlsx,sugar,medium,,,general_context; ingredient_confirmation; manufacturing_or_process; retail_price,usda,milk_dairy; sugar,chunks=22 text=44352
document_profile,DOC_71BF5D9AF123,barry_callebaut_hershey_supply_agreement_page.pdf,cocoa_chocolate_cocoa_butter,high,,,general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,barry_callebaut; hershey,cocoa_chocolate; milk_dairy,chunks=4 text=4835
document_profile,DOC_71CE92D20645,hershey_distribution_center_logistics_reference.pdf,logistics_distribution,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,cocoa_chocolate; packaging,chunks=8 text=11985
document_profile,DOC_73F44125570A,hershey_latest_esg_sugar_section.pdf,hershey_company,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,barry_callebaut; hershey; land_olakes; target; usda,cocoa_chocolate; milk_dairy; natural_flavor; packaging; sugar,chunks=206 text=424001
document_profile,DOC_74966F03A6A3,hershey_sugar_sourcing_page.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,asr; hershey; target,cocoa_chocolate; sugar,chunks=5 text=7097
document_profile,DOC_75DA5EE841E9,hershey_sustainable_dairy_pa_2021_press_release.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,hershey; land_olakes,cocoa_chocolate; milk_dairy,chunks=5 text=7856
document_profile,DOC_7A2EEB1A9F31,soy_lecithin_market_price_reference.pdf,soy_lecithin,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship,,soy_lecithin,chunks=3 text=2544
document_profile,DOC_7AD7B5853282,Hersheyland-Explore-Hershey-Products.pdf,reference_only,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation,hershey,cocoa_chocolate; milk_dairy; natural_flavor,chunks=3 text=4041
document_profile,DOC_7FED8B7042EA,usda_ams_dairy_market_news_weekly_report_latest.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,usda,milk_dairy; natural_flavor,chunks=43 text=90780
document_profile,DOC_88DAB6FD44D8,cpg_distribution_center_explanation.pdf,logistics_distribution,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,fda,packaging; sugar,chunks=8 text=13876
document_profile,DOC_89FEEC7103A9,eia_diesel_price_benchmark.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; manufacturing_or_process; retail_price,eia,,chunks=4 text=5119
document_profile,DOC_8E60E28B0A31,efsa_pgpr_e476_reevaluation.pdf,pgpr,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship,,cocoa_chocolate; milk_dairy; packaging; pgpr,chunks=41 text=80244
document_profile,DOC_8F85C09572BC,hershey_cocoa_for_good_strategy.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,cocoa_chocolate,chunks=5 text=8640
document_profile,DOC_920988DD536E,Dairy-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,high,,,general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,hershey; land_olakes; target,cocoa_chocolate; milk_dairy,chunks=4 text=6402
document_profile,DOC_9232C3E84540,usda_ams_dairy_monthly_averages_latest.pdf,dairy_milk_skim_milk_milk_fat,medium_high,,,cost_or_price_benchmark; ingredient_confirmation; retail_price,usda,milk_dairy,chunks=3 text=4268
document_profile,DOC_940D070C225C,bls_warehousing_storage_ppi_benchmark.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; retail_price,,,chunks=2 text=1168
document_profile,DOC_9C88D07C6DBF,usda_ams_advanced_class_prices_latest.pdf,dairy_milk_skim_milk_milk_fat,medium_high,,,cost_or_price_benchmark; ingredient_confirmation; retail_price,usda,milk_dairy,chunks=7 text=13701
document_profile,DOC_9F0DF6069C86,fda_pgpr_gras_notice_inventory_page.pdf,pgpr,medium_high,,,cost_or_price_benchmark; ingredient_confirmation; logistics_distribution; manufacturing_or_process,fda,cocoa_chocolate; pgpr,chunks=5 text=10486
document_profile,DOC_A2C285FFEE37,pgpr_industry_supplier_function_reference.pdf,pgpr,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship,,cocoa_chocolate; milk_dairy; packaging,chunks=4 text=5930
document_profile,DOC_A5418FB79897,usda_ams_national_dairy_products_sales_report_latest.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; retail_price; supplier_relationship,usda,milk_dairy,chunks=5 text=8367
document_profile,DOC_A632502DE1F8,usda_soybean_soybean_oil_price_benchmark.pdf,soy_lecithin,medium_high,,,cost_or_price_benchmark; general_context; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,usda,,chunks=3 text=3503
document_profile,DOC_A6A693D3495F,pgpr_and_lecithin_chocolate_emulsifier_use.pdf,pgpr,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process,,cocoa_chocolate; pgpr; soy_lecithin,chunks=2 text=1581
document_profile,DOC_AB943BE3F9BC,hershey_company_logo.png,brand_logo_assets,medium,,,general_context,hershey,,chunks=1 text=66
document_profile,DOC_B28013FB1CA9,dairy_ingredients_in_chocolate_explanation.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship,,cocoa_chocolate; milk_dairy; natural_flavor; packaging; soy_lecithin; sugar,chunks=11 text=20857
document_profile,DOC_B3858C187B41,cocoa_beans_quality_requirements_processing_guide.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,barry_callebaut; fda; icco; target; usda,cocoa_chocolate; milk_dairy; natural_flavor; packaging; soy_lecithin; sugar,chunks=146 text=295152
document_profile,DOC_B544BFB9CF00,soybean_to_soy_lecithin_processing_explanation.pdf,soy_lecithin,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship,,soy_lecithin,chunks=4 text=5813
document_profile,DOC_B690BF25DADF,fema_flavor_ingredient_library_page.pdf,natural_flavor,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process,fda,milk_dairy; natural_flavor; sugar,chunks=7 text=12599
document_profile,DOC_BA82764C244F,land_o_lakes_community_impact_report.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,land_olakes,milk_dairy,chunks=3 text=3003
document_profile,DOC_BCA0BB066D42,paperboard_packaging_market_overview_reference.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; general_context; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,target,packaging,chunks=9 text=16090
document_profile,DOC_BF1CF5E24E2A,034000002405_3.png,product_sku_1_55oz,high,,,ingredient_confirmation,hershey,cocoa_chocolate; milk_dairy; sugar,chunks=1 text=761
document_profile,DOC_C035EBC878BA,soy_lecithin_industry_supplier_reference.pdf,soy_lecithin,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship,,soy_lecithin,chunks=2 text=2212
document_profile,DOC_C041385635A5,milk_fat_butterfat_explanation.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,eia,milk_dairy; natural_flavor,chunks=5 text=7841
document_profile,DOC_C1E296D7AAAC,trucking_rate_market_reference.pdf,logistics_distribution,medium_high,,,cost_or_price_benchmark; general_context; logistics_distribution; retail_price; supplier_relationship,,,chunks=2 text=1625
document_profile,DOC_C2BD8E23F83C,asr_sustainable_supply_chain_page.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,asr; hershey,sugar,chunks=2 text=2188
document_profile,DOC_C341E0016B61,fda_lecithin_food_additive_or_gras_reference.pdf,soy_lecithin,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process,fda,natural_flavor; packaging; soy_lecithin,chunks=3 text=3362
document_profile,DOC_C5BF7969016D,hershey_pulp_paper_supplier_mill_list.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; manufacturing_or_process; supplier_relationship; sustainability_context,hershey,packaging,chunks=3 text=5807
document_profile,DOC_C5E013D8DC8A,fda_21_cfr_101_22_natural_flavor_definition.pdf,natural_flavor,high,,,general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship,,milk_dairy; natural_flavor; packaging; sugar,chunks=14 text=25623
document_profile,DOC_C87C22CB90A7,Cocoa-The-Hershey-Company-05-06-2026_02_25_PM.pdf,cocoa_chocolate_cocoa_butter,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; supplier_relationship; sustainability_context,hershey,cocoa_chocolate,chunks=7 text=11767
document_profile,DOC_CA4CD5A61616,hershey_2025_10k_full.pdf,hershey_company,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,hershey; mclane; target,cocoa_chocolate; milk_dairy; natural_flavor; packaging; sugar,chunks=55 text=109285
document_profile,DOC_CD36102F0A4D,land_o_lakes_logo_asset.png,dairy_milk_skim_milk_milk_fat,medium,,,general_context,land_olakes,,chunks=1 text=88
document_profile,DOC_CF8C4A1F434C,hershey 1.55 oz page.pdf,product_sku_1_55oz,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price,hershey,cocoa_chocolate; milk_dairy; natural_flavor; packaging; pgpr; soy_lecithin; sugar,chunks=7 text=13187
document_profile,DOC_D22719A8CDC8,flexible_packaging_market_overview_reference.pdf,packaging_wrapper,high,,,cost_or_price_benchmark; general_context; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,,milk_dairy; packaging,chunks=16 text=28926
document_profile,DOC_D24FEC8E2E35,usda_ers_sugar_market_outlook_latest.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship,usda,sugar,chunks=3 text=2970
document_profile,DOC_D9B23C06662B,land_o_lakes_home_page.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; supplier_relationship; sustainability_context,land_olakes,milk_dairy,chunks=3 text=3852
document_profile,DOC_DAEB12849174,fema_gras_program_page.pdf,natural_flavor,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship,fda,natural_flavor,chunks=11 text=20093
document_profile,DOC_DB66DBC968F9,asr_group_home_page.pdf,sugar,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; sustainability_context,asr,sugar,chunks=3 text=2668
document_profile,DOC_DC5C9E72C77A,land_o_lakes_2025_annual_report.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,eia; hershey; land_olakes,cocoa_chocolate; milk_dairy; natural_flavor; packaging; sugar,chunks=34 text=64099
document_profile,DOC_E2BE0206EF0C,usda_ams_class_iv_milk_price_reference.pdf,dairy_milk_skim_milk_milk_fat,medium_high,,,cost_or_price_benchmark; ingredient_confirmation; manufacturing_or_process; retail_price,usda,milk_dairy,chunks=2 text=3434
document_profile,DOC_E2CBD160658D,usda_ers_sugar_outlook_latest_pdf.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; supplier_relationship; sustainability_context,usda,sugar,chunks=16 text=29553
document_profile,DOC_E3E6C7C84910,milk_processing_separation_explanation.pdf,dairy_milk_skim_milk_milk_fat,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship; sustainability_context,fda; usda,milk_dairy; natural_flavor; packaging,chunks=90 text=175072
document_profile,DOC_E5889DB5914A,Sugar-The-Hershey-Company-05-06-2026_02_22_PM.pdf,sugar,high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; manufacturing_or_process; retail_price; supplier_relationship; sustainability_context,asr; hershey; target,cocoa_chocolate; sugar,chunks=5 text=7097
document_profile,DOC_EBE512C33BCD,domino_sugar_asr_brand_page.pdf,sugar,medium_high,,,cost_or_price_benchmark; general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; sustainability_context,asr,packaging; sugar,chunks=2 text=1909
document_profile,DOC_F0190DCF0884,natural_flavor_declaration_fda_definition_reference.pdf,natural_flavor,high,,,general_context; ingredient_confirmation; logistics_distribution; manufacturing_or_process; supplier_relationship,fda; usda,milk_dairy; natural_flavor; sugar,chunks=7 text=13929
