record_type,id,label,type_or_flow,relationship_status,confidence_level,display_allowed,from_node,to_node,evidence_count,summary
edge,EDGE_DOWNSTREAM_01,Finished bars to warehouse/DC,finished_goods,benchmark_only,medium,True,NODE_PRODUCT_HERSHEY_155OZ,NODE_WAREHOUSE_DISTRIBUTION_CENTER,0,Downstream logistics are modeled; exact SKU route is not confirmed.
edge,EDGE_DOWNSTREAM_02,Outbound movement,logistics,benchmark_only,medium,True,NODE_WAREHOUSE_DISTRIBUTION_CENTER,NODE_COMMON_CARRIER_TRUCKING,0,Downstream logistics are modeled; exact SKU route is not confirmed.
edge,EDGE_DOWNSTREAM_03,Distribution / downstream channel movement,logistics,company_level_confirmed,medium,True,NODE_COMMON_CARRIER_TRUCKING,NODE_DISTRIBUTOR_MCLANE,8,Downstream logistics are modeled; exact SKU route is not confirmed.
edge,EDGE_MCLANE_TO_WALMART,Modeled downstream path to Walmart,logistics,illustrative_only,medium,True,NODE_DISTRIBUTOR_MCLANE,NODE_RETAILER_WALMART,0,Walmart has verified retail price evidence; exact distribution path is modeled.
edge,EDGE_WALMART_TO_CONSUMER,Retail sale to consumer,finished_goods,sku_level_confirmed,medium,True,NODE_RETAILER_WALMART,NODE_CONSUMER,0,Walmart price evidence supports retail sale context.
edge,EDGE_MCLANE_TO_TARGET,Modeled downstream path to Target,logistics,illustrative_only,medium,True,NODE_DISTRIBUTOR_MCLANE,NODE_RETAILER_TARGET,0,Target has verified retail price evidence; exact distribution path is modeled.
edge,EDGE_TARGET_TO_CONSUMER,Retail sale to consumer,finished_goods,sku_level_confirmed,medium,True,NODE_RETAILER_TARGET,NODE_CONSUMER,0,Target price evidence supports retail sale context.
edge,EDGE_MCLANE_TO_CVS,Modeled downstream path to CVS,logistics,illustrative_only,medium,True,NODE_DISTRIBUTOR_MCLANE,NODE_RETAILER_CVS,0,CVS has verified retail price evidence; exact distribution path is modeled.
edge,EDGE_CVS_TO_CONSUMER,Retail sale to consumer,finished_goods,sku_level_confirmed,medium,True,NODE_RETAILER_CVS,NODE_CONSUMER,0,CVS price evidence supports retail sale context.
edge,EDGE_MCLANE_TO_WALGREENS,Modeled downstream path to Walgreens,logistics,illustrative_only,medium,True,NODE_DISTRIBUTOR_MCLANE,NODE_RETAILER_WALGREENS,0,Walgreens has verified retail price evidence; exact distribution path is modeled.
edge,EDGE_WALGREENS_TO_CONSUMER,Retail sale to consumer,finished_goods,sku_level_confirmed,medium,True,NODE_RETAILER_WALGREENS,NODE_CONSUMER,0,Walgreens price evidence supports retail sale context.
edge,EDGE_COST_01,ingredient cost contribution,cost,benchmark_only,medium,True,NODE_COST_INGREDIENTS,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_02,packaging cost contribution,cost,benchmark_only,medium,True,NODE_COST_PACKAGING,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_03,manufacturing conversion allocation,cost,benchmark_only,medium,True,NODE_COST_MANUFACTURING,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_04,storage cost allocation,cost,benchmark_only,medium,True,NODE_COST_STORAGE,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_05,freight cost allocation,cost,benchmark_only,medium,True,NODE_COST_FREIGHT,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_06,verified retail shelf price,cost,sku_level_confirmed,medium,True,NODE_COST_RETAIL,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
edge,EDGE_COST_07,retail minus physical cost residual,cost,benchmark_only,low,True,NODE_COST_RESIDUAL,NODE_PRODUCT_HERSHEY_155OZ,0,"Cost model value is benchmark/verified-retail based, not Hershey internal cost."
